Date,Country,Price in US dollars
2013-01-01,Denmark,5.18375030693258
2013-01-01,Egypt,2.39314960924354
2013-01-01,Euro area,4.87803112862027
2013-01-01,Britain,4.24818249802884
2013-01-01,Hong Kong,2.19097575749765
2013-01-01,Hungary,3.81662979173847
2013-01-01,Indonesia,2.86040440235475
2013-01-01,India,1.66682273621126
2013-01-01,Israel,4.00048327985931
2013-01-01,Japan,3.51397353538681
2013-01-01,South Korea,3.40864598447684
2013-01-01,Sri Lanka,2.76789244760775
2013-01-01,Mexico,2.90460340388118
2013-01-01,Malaysia,2.57865715212455
2013-01-01,Norway,7.84227900275392
2013-01-01,New Zealand,4.32458000140592
2013-01-01,Pakistan,2.96933394767829
2013-01-01,Peru,3.90701308849385
2013-01-01,Philippines,2.9064039408867
2013-01-01,Poland,2.94307891332471
2013-01-01,Russia,2.42569479114661
2013-01-01,Saudi Arabia,2.93317689723215
2013-01-01,Singapore,3.64416730777017
2013-01-01,Sweden,6.38809635544636
2013-01-01,Thailand,2.92387833977483
2013-01-01,Turkey,4.7773851590106
2013-01-01,Taiwan,2.54220052877771
2013-01-01,Ukraine,2.33300589390963
2013-01-01,Uruguay,5.44605809128631
2013-01-01,United States,4.367395833
2013-01-01,South Africa,2.31015806344645
2013-07-01,UAE,3.26708412741628
2013-07-01,Argentina,3.87990762124711
2013-07-01,Australia,4.61986425117506
2013-07-01,Brazil,5.28483033492612
2013-07-01,Canada,5.26040428061831
2013-07-01,Switzerland,6.7190407277238
2013-07-01,Chile,3.93580698802531
2013-07-01,China,2.60836960597317
2013-07-01,Colombia,4.47683498178032
2013-07-01,Costa Rica,4.31142527698401
2013-07-01,Czech Republic,3.49059595298967
2013-07-01,Denmark,4.91328483260352
2013-07-01,Egypt,2.38973341988686
2013-07-01,Euro area,4.65939148386547
2013-07-01,Britain,4.02007049936362
2013-07-01,Hong Kong,2.19166779473097
2013-07-01,Hungary,3.76430215965894
2013-07-01,Indonesia,2.80371299548419
2013-07-01,India,1.50050016672224
2013-07-01,Israel,4.79984640491504
